Arm,Prompts,Reached rank #1,Success rate %,Mean rank gain,Median final rank,Mean final prob %,Features at best,Rescued in best,Steps,Time s,Collateral KL (nats),Top-1 flips
strict,131,41,31.3,62.9084,3,7.0076,43.1679,0.0,26.5878,2.4956,0.0015,0.0267
off,131,35,26.7,57.3588,3,5.7306,41.6336,0.0,25.8397,1.9539,0.0014,0.023
tol5_after,131,42,32.1,62.7634,3,6.9559,42.5191,0.4122,26.313,2.4165,0.0015,0.0271
graded5_after,131,41,31.3,62.5878,3,6.9395,42.687,0.7557,26.3282,2.6557,0.0014,0.0267
graded5_inter,131,41,31.3,62.5725,3,6.8679,42.3435,1.1145,26.3893,2.6405,0.0014,0.0258
